law_name,article_no,content,effective_date,summary
AI 기본법 시행령,제1조,"제1조(목적) 이 영은 「인공지능 발전과 신뢰 기반 조성 등에 관한 기본법」에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적으로 한다.",2026-07-21,"시행령의 목적. 기본법 위임사항 및 시행에 필요한 사항 규정"
AI 기본법 시행령,제1조의2,"제1조의2(인공지능취약계층의 범위) 「인공지능 발전과 신뢰 기반 조성 등에 관한 기본법」(이하 “법”이라 한다) 제3조제5항에서 “인공지능제품 또는 인공지능서비스의 이용에 어려움을 겪는 장애인·고령자 등 대통령령으로 정하는 취약계층”이란 다음 각 호의 사람을 말한다.
1. 「구직자 취업촉진 및 생활안정지원에 관한 법률」 제2조제2호에 따른 수급자격자
2. 「국민기초생활 보장법」 제2조제1호에 따른 수급권자 또는 같은 조 제10호에 따른 차상위계층에 속하는 사람
3. 「농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법」 제3조제3호에 따른 농어업인등
4. 「다문화가족지원법」 제2조제1호에 따른 다문화가족의 구성원
5. 「북한이탈주민의 보호 및 정착지원에 관한 법률」 제2조제1호에 따른 북한이탈주민
6. 「여성의 경제활동 촉진과 경력단절 예방법」 제2조제1호에 따른 경력보유여성등
7. 「장애인복지법」 제2조에 따른 장애인
8. 「한부모가족지원법」 제5조 및 제5조의2에 따른 지원대상자
9. 65세 이상인 사람
10. 그 밖에 법 제2조제6호에 따른 인공지능제품(이하 “인공지능제품”이라 한다) 또는 같은 호에 따른 인공지능서비스(이하 “인공지능서비스”라 한다)의 이용에 어려움을 겪는 사람으로서 중앙행정기관의 장 또는 지방자치단체의 장이 인정하는 사람
[본조신설 2026. 7. 20.]",2026-07-21,"인공지능취약계층의 범위. 구직급여수급자, 기초생활수급자·차상위계층, 농어업인, 다문화가족, 북한이탈주민, 경력단절여성, 장애인, 한부모가족, 65세 이상 등 구체적 대상 명시 — 법 제3조 취약계층 참여보장의 세부기준"
AI 기본법 시행령,제2조,"제2조(법의 적용 제외 인공지능) 법 제4조제2항에서 “대통령령으로 정하는 인공지능”이란 다음 각 호에 해당하는 업무만을 수행하기 위하여 개발·이용되는 인공지능을 말한다. <개정 2026. 7. 20.>
1. 다음 각 목의 어느 하나에 해당하는 업무로서 국방부장관이 지정하는 업무
가. 「국방정보화 기반조성 및 국방정보자원관리에 관한 법률」 제2조제3호에 따른 국방정보통신망 및 같은 조 제4호에 따른 국방정보시스템의 구축·운영
나. 「방위사업법」 제3조제3호에 따른 무기체계 및 같은 조 제4호에 따른 전력지원체계의 개발·운용
2. 다음 각 목의 어느 하나에 해당하는 업무로서 국가정보원장이 지정하는 업무
가. 「경제안보를 위한 공급망 안정화 지원 기본법」 제15조제1항에 따른 조기경보시스템의 운영·관리
나. 「국가연구개발혁신법」 제21조제2항에 따라 보안과제로 분류된 연구개발과제의 보안업무
다. 「국가자원안보 특별법」 제20조제2항에 따른 사이버보안 예방·대응체계의 구축·운영
라. 「국가첨단전략산업 경쟁력 강화 및 보호에 관한 특별조치법」 제2조제1호에 따른 국가첨단전략기술의 유출 및 침해행위 등의 조사 및 조치
마. 「국민보호와 공공안전을 위한 테러방지법」 제2조제6호에 따른 대테러활동
바. 「방위산업기술 보호법」 제2조제1호에 따른 방위산업기술의 보호와 같은 법 제11조에 따른 방위산업기술의 유출 및 침해를 방지하기 위하여 필요한 조사 및 조치
사. 「산업기술의 유출방지 및 보호에 관한 법률」 제2조제2호에 따른 국가핵심기술의 유출 및 침해를 방지하기 위하여 필요한 조사 및 조치
아. 「전자정부법」 제56조제3항에 따라 국가정보원장이 안전성을 확인한 보안조치
자. 「통합방위법」 제9조의2제1항에 따른 정보센터 및 같은 조 제2항에 따른 합동정보조사팀의 대공(對共)정보업무
차. 「방첩업무 규정」 제3조에 따른 방첩업무
카. 「국가정보원법」 제4조제1항제1호부터 제5호까지에 해당하는 업무
3. 다음 각 목의 어느 하나에 해당하는 업무로서 경찰청장이 지정하는 업무
가. 「국가첨단전략산업 경쟁력 강화 및 보호에 관한 특별조치법」 제2조제1호에 따른 국가첨단전략기술의 유출 및 침해행위 등의 수사 및 조치
나. 「국민보호와 공공안전을 위한 테러방지법」 제2조제6호에 따른 대테러활동
다. 「방위산업기술 보호법」 제2조제1호에 따른 방위산업기술의 보호와 같은 법 제11조에 따른 방위산업기술의 유출 및 침해를 방지하기 위하여 필요한 수사 및 조치
라. 「산업기술의 유출방지 및 보호에 관한 법률」 제2조제2호에 따른 국가핵심기술의 유출 및 침해를 방지하기 위하여 필요한 수사 및 조치
마. 「방첩업무 규정」 제3조에 따른 방첩업무
바. 「정보 및 보안 업무 기획·조정 규정」 제2조제5호에 따른 정보사범 등에 대한 수사 및 체포",2026-07-21,"법 적용제외 인공지능. 국방부·국가정보원·경찰청이 지정하는 국방·안보·방첩·테러대응 등 목적 인공지능은 법 적용 제외"
AI 기본법 시행령,제3조,"제3조(인공지능 기본계획의 수립) ① 법 제6조제1항 단서에서 “대통령령으로 정하는 경미한 사항을 변경하는 경우”란 다음 각 호의 어느 하나에 해당하는 경우를 말한다.
1. 법 제6조제1항에 따른 인공지능 기본계획(이하 “기본계획”이라 한다)의 기본 방향, 전략 및 목표가 변경되지 않는 범위에서 기본계획에 포함된 세부과제의 추진체계, 추진일정, 주관기관 또는 관계 기관을 변경하는 경우
2. 기본계획의 기본 방향, 전략 및 목표가 변경되지 않는 범위에서 「지능정보화 기본법」 제6조제1항에 따른 지능정보사회 종합계획 및 같은 법 제7조제1항에 따른 지능정보사회 실행계획과의 일관성 있는 운영을 위하여 변경하는 경우
3. 단순한 착오, 오기(誤記), 누락 또는 명백한 오류를 수정하는 경우
4. 법령의 제정·개정·폐지에 따라 그 내용을 반영하기 위하여 변경하는 경우
② 과학기술정보통신부장관은 법 제6조제1항에 따라 기본계획을 수립하거나 변경한 경우에는 그 내용을 과학기술정보통신부의 인터넷 홈페이지에 공고하고, 관계 중앙행정기관의 장 및 지방자치단체의 장에게 통보해야 한다.",2026-07-21,"기본계획 수립 세부절차. 경미한 변경사항의 정의, 기본계획 수립·변경 시 공고·통보 의무"
AI 기본법 시행령,제4조,"제4조(국가인공지능전략위원회의 구성 등) ① 법 제7조제4항제1호에서 “대통령령으로 정하는 관계 중앙행정기관”이란 다음 각 호의 중앙행정기관을 말한다.
1. 재정경제부
2. 과학기술정보통신부
3. 교육부
4. 외교부
5. 법무부
6. 국방부
7. 행정안전부
8. 문화체육관광부
9. 산업통상부
10. 보건복지부
11. 기후에너지환경부
12. 고용노동부
13. 중소벤처기업부
14. 기획예산처
15. 방송미디어통신위원회
16. 개인정보 보호위원회
② 법 제7조제4항제4호에 해당하는 사람으로서 같은 조 제3항에 따라 부위원장이 된 1명은 상근(常勤)으로 한다.
③ 법 제7조제4항제4호에 따른 위원의 사임 등으로 새로 위촉된 위원의 임기는 전임위원 임기의 남은 기간으로 한다.
④ 법 제7조제4항제4호에 따른 위원은 같은 조 제7항에 따른 임기가 만료된 경우에도 후임(後任) 위원이 위촉될 때까지 그 직무를 수행할 수 있다.
⑤ 법 제7조제1항에 따른 국가인공지능전략위원회(이하 “위원회”라 한다)의 위원장(이하 “위원장”이라 한다)은 같은 조 제4항제4호에 따른 위원이 다음 각 호의 어느 하나에 해당하는 경우에는 해당 위원을 해촉(解囑)할 수 있다.
1. 심신쇠약 등으로 직무를 수행할 수 없게 된 경우
2. 직무와 관련된 비위사실이 있는 경우
3. 직무태만, 품위손상이나 그 밖의 사유로 위원으로 적합하지 않다고 인정되는 경우
4. 법 제9조제3항에 해당함에도 불구하고 회피하지 않은 경우
5. 위원 스스로 직무를 수행하는 것이 곤란하다고 의사를 밝히는 경우",2026-07-21,"국가인공지능전략위원회 구성 세부사항. 참여 중앙행정기관 16개 부처 목록, 위원 임기·해촉 사유"
AI 기본법 시행령,제5조,"제5조(위원회의 운영) ① 위원회는 위원회의 업무를 수행하기 위하여 필요한 경우에는 관계 전문가의 의견을 듣거나, 관계 행정기관 및 그 밖의 기관·법인·단체 등에 자료 제출 또는 의견 제시 등의 협조를 요청할 수 있다.
② 위원회는 업무를 수행하기 위하여 필요한 경우에는 관계 전문가 또는 기관·법인·단체 등에 조사나 연구를 의뢰할 수 있다.
③ 위원회는 업무를 수행하기 위하여 필요한 경우에는 설문조사, 공청회 및 세미나 개최 등을 통하여 여론을 수렴할 수 있다.
④ 위원회의 위원, 법 제10조제1항에 따른 분과위원회(이하 “분과위원회”라 한다)의 위원, 같은 조 제2항에 따른 특별위원회(이하 “특별위원회”라 한다)의 위원, 관계 공무원 및 관계 전문가 등에게는 예산의 범위에서 수당, 여비와 그 밖에 필요한 경비를 지급할 수 있다. 다만, 공무원이 소관 업무와 직접 관련되어 위원회에 출석하는 경우에는 지급하지 않는다.
⑤ 제1항부터 제4항까지에서 규정한 사항 외에 위원회 운영에 필요한 사항은 위원회의 의결을 거쳐 위원장이 정한다.",2026-07-21,"위원회 운영 세부사항. 전문가 의견수렴, 조사·연구 의뢰, 여론수렴, 수당 지급"
AI 기본법 시행령,제6조,"제6조(국가인공지능전략위원회지원단) ① 법 제7조제12항에 따른 지원단(이하 이 조에서 “지원단”이라 한다)에는 단장 1명을 두며, 단장은 다음 각 호의 사람 중에서 위원장이 지명한다.
1. 대통령비서실의 인공지능에 관한 업무를 보좌하는 비서관
2. 제3항에 따라 파견되거나 겸임하는 공무원(중앙행정기관 소속 고위공무원단에 속하는 공무원으로 한정한다)
② 지원단의 단장은 위원장의 지휘를 받아 지원단의 사무를 총괄하며 소속 직원을 지휘·감독한다.
③ 위원회는 위원회 또는 지원단의 운영 등을 위하여 필요한 경우 중앙행정기관 및 지방자치단체의 장이나 관계 기관·법인·단체 등의 장에게 소속 공무원이나 임직원의 파견 또는 겸임을 요청할 수 있다.
④ 위원회는 위원회 또는 지원단의 업무 수행 등을 위하여 필요한 경우에는 예산의 범위에서 관련 분야 전문가를 임기제공무원으로 둘 수 있다.",2026-07-21,"위원회지원단 구성. 단장 지명, 파견·겸임 요청, 임기제공무원"
AI 기본법 시행령,제7조,"제7조(개선권고의 이행) ① 법 제8조제3항에 따라 위원회로부터 법령·제도의 개선 또는 실천방안의 수립 등에 대한 권고 또는 의견의 표명을 받은 국가, 지방자치단체 및 「공공기관의 운영에 관한 법률」 제4조에 따른 공공기관(이하 “국가기관등”이라 한다)의 장은 권고 또는 의견의 표명을 받은 날부터 3개월 이내에 법령·제도 등의 개선방안과 실천방안 등을 수립하여 위원회에 보고해야 한다.
② 국가기관등의 장은 불가피한 사유로 제1항에 따른 기간 내에 개선방안과 실천방안 등을 수립하여 보고하기 어려운 경우에는 위원회에 그 사유를 소명하고 보고기간의 연장을 요청할 수 있다.",2026-07-21,"위원회 개선권고 이행. 권고 수령 후 3개월 내 개선방안 수립·보고 의무, 연장 요청 절차"
AI 기본법 시행령,제8조,"제8조(분과위원회 등) ① 분과위원회의 위원장과 특별위원회의 위원장은 위원회의 위원 중 위원장이 지명한다.
② 분과위원회의 위원은 법 제7조제4항제4호에 따른 위원 중에서 위원장이 지명한다. 다만, 필요한 경우에는 부위원장(제4조제2항에 따른 상근 부위원장을 말한다. 이하 이 조에서 같다)이 해당 분야에서 전문지식과 경험이 풍부한 민간의 전문가를 분과위원회 위원으로 추가 위촉할 수 있다.
③ 특별위원회의 위원은 위원회의 위원 중에서 위원장이 지명하거나 다음 각 호의 사람 중에서 해당 특별위원회의 위원장의 의견을 들어 부위원장이 임명 또는 위촉한다.
1. 특별위원회에서 논의할 사안에 관하여 학식과 경험이 풍부한 전문가
2. 특별위원회에서 논의할 사안과 관련된 중앙행정기관의 장 또는 소속 공무원
3. 특별위원회에서 논의할 사안과 관련된 공공기관(「공공기관의 운영에 관한 법률」 제4조에 따른 공공기관을 말한다)의 장 또는 소속 임직원
④ 법 제10조제3항에 따른 자문단은 인공지능, 인공지능기술, 인공지능산업 및 인공지능사회(이하 “인공지능등”이라 한다)와 관련한 전문성이 있다고 인정되는 민간 전문가 중 부위원장이 위촉하는 사람으로 구성한다.
⑤ 법 제10조제4항에 따른 인공지능책임관은 다음 각 호의 사람 중에서 위원회의 요청에 따라 해당 호의 기관의 장이 지명한다.
1. 제4조제1항 각 호에 따른 중앙행정기관의 차관 또는 차관급 공무원
2. 특별시·광역시·특별자치시·도·특별자치도의 부시장 또는 부지사
3. 제1호에 따른 사람 외에 법 제10조제4항에 따른 인공지능책임관협의회(이하 “협의회”라 한다)의 의장이 협의회 운영을 위하여 필요하다고 인정하는 관계 중앙행정기관의 차관 또는 차관급 공무원(고위공무원단에 속하는 일반직공무원 또는 이에 상당하는 공무원인 부기관장을 포함한다)
⑥ 협의회의 의장은 위원회의 위원 중에서 위원장이 지명한다.
⑦ 제1항부터 제4항까지에서 규정한 사항 외에 분과위원회, 특별위원회, 자문단의 구성·운영 등에 필요한 사항은 위원회의 의결을 거쳐 위원장이 정한다.
⑧ 제5항 및 제6항에서 규정한 사항 외에 협의회의 구성·운영 등에 필요한 사항은 협의회의 의결을 거쳐 협의회의 의장이 정한다.",2026-07-21,"분과위원회·특별위원회·자문단·인공지능책임관협의회 구성 세부절차"
AI 기본법 시행령,제9조,"제9조(인공지능정책센터의 지정) ① 과학기술정보통신부장관은 법 제11조제1항에 따라 다음 각 호의 어느 하나에 해당하는 기관·법인 또는 단체를 인공지능정책센터(이하 “인공지능정책센터”라 한다)로 지정한다.
1. 「지능정보화 기본법」 제12조제1항에 따른 한국지능정보사회진흥원
2. 다음 각 목의 어느 하나에 해당하는 기관·법인 또는 단체로서 과학기술정보통신부장관이 인공지능에 관한 전문성을 갖추었다고 인정하는 기관·법인 또는 단체
가. 「고등교육법」 제2조에 따른 학교의 부설연구소
나. 「공공기관의 운영에 관한 법률」 제4조에 따른 공공기관
다. 「민법」 제32조에 따라 설립된 비영리법인으로서 인공지능 관련 정책의 개발과 국제규범 정립·확산을 위한 업무를 수행하는 법인
라. 「정부출연연구기관 등의 설립·운영 및 육성에 관한 법률」 제2조에 따른 정부출연연구기관
② 과학기술정보통신부장관은 제1항에 따라 인공지능정책센터를 지정했을 때에는 그 사실을 과학기술정보통신부의 인터넷 홈페이지에 공고해야 한다.",2026-07-21,"인공지능정책센터 지정 대상기관. 한국지능정보사회진흥원, 대학부설연구소, 공공기관, 비영리법인, 정부출연연구기관"
