law_name,article_no,content,effective_date,summary
AI 기본법,제1조,"제1조(목적) 이 법은 인공지능의 건전한 발전과 신뢰 기반 조성에 필요한 기본적인 사항을 규정함으로써 국민의 권익과 존엄성을 보호하고 국민의 삶의 질 향상과 국가경쟁력을 강화하는 데 이바지함을 목적으로 한다.",2026-01-22,"입법 목적. 인공지능 발전과 신뢰 기반 조성, 국민 권익·존엄성 보호, 삶의 질 향상, 국가경쟁력 강화"
AI 기본법,제2조,"제2조(정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2026. 1. 20.>
1. “인공지능”이란 학습, 추론, 지각, 판단, 언어의 이해 등 인간이 가진 지적 능력을 전자적 방법으로 구현한 것을 말한다.
2. “인공지능시스템”이란 다양한 수준의 자율성과 적응성을 가지고 주어진 목표를 위하여 실제 및 가상환경에 영향을 미치는 예측, 추천, 결정 등의 결과물을 추론하는 인공지능 기반 시스템을 말한다.
3. “인공지능기술”이란 인공지능을 구현하기 위하여 필요한 하드웨어·소프트웨어 기술 또는 그 활용 기술을 말한다.
4. “고영향 인공지능”이란 사람의 생명, 신체의 안전 및 기본권에 중대한 영향을 미치거나 위험을 초래할 우려가 있는 인공지능시스템으로서 다음 각 목의 어느 하나의 영역에서 활용되는 것을 말한다.
가. 「에너지법」 제2조제1호에 따른 에너지의 공급
나. 「먹는물관리법」 제3조제1호에 따른 먹는물의 생산 공정
다. 「보건의료기본법」 제3조제1호에 따른 보건의료의 제공 및 이용체계의 구축·운영
라. 「의료기기법」 제2조제1항에 따른 의료기기 및 「디지털의료제품법」 제2조제2호에 따른 디지털의료기기의 개발 및 이용
마. 「원자력시설 등의 방호 및 방사능 방재 대책법」 제2조제1항제1호에 따른 핵물질과 같은 항 제2호에 따른 원자력시설의 안전한 관리 및 운영
바. 범죄 수사나 체포 업무를 위한 생체인식정보(얼굴·지문·홍채 및 손바닥 정맥 등 개인을 식별할 수 있는 신체적·생리적·행동적 특징에 관한 개인정보를 말한다)의 분석·활용
사. 채용, 대출 심사 등 개인의 권리·의무 관계에 중대한 영향을 미치는 판단 또는 평가
아. 「교통안전법」 제2조제1호부터 제3호까지에 따른 교통수단, 교통시설, 교통체계의 주요한 작동 및 운영
자. 공공서비스 제공에 필요한 자격 확인 및 결정 또는 비용징수 등 국민에게 영향을 미치는 국가, 지방자치단체, 「공공기관의 운영에 관한 법률」 제4조에 따른 공공기관 등(이하 “국가기관등”이라 한다)의 의사결정
차. 「교육기본법」 제9조제1항에 따른 유아교육·초등교육 및 중등교육에서의 학생 평가
카. 그 밖에 사람의 생명·신체의 안전 및 기본권 보호에 중대한 영향을 미치는 영역으로서 대통령령으로 정하는 영역
5. “생성형 인공지능”이란 입력한 데이터(「데이터 산업진흥 및 이용촉진에 관한 기본법」 제2조제1호에 따른 데이터를 말한다. 이하 같다)의 구조와 특성을 모방하여 글, 소리, 그림, 영상, 그 밖의 다양한 결과물을 생성하는 인공지능시스템을 말한다.
6. “인공지능산업”이란 인공지능 또는 인공지능기술을 활용한 제품(이하 “인공지능제품”이라 한다)을 개발·제조·생산 또는 유통하거나 이와 관련한 서비스(이하 “인공지능서비스”라 한다)를 제공하는 산업을 말한다.
7. “인공지능사업자”란 인공지능산업과 관련된 사업을 하는 자로서 다음 각 목의 어느 하나에 해당하는 법인, 단체, 개인 및 국가기관등을 말한다.
가. 인공지능개발사업자: 인공지능을 개발하여 제공하는 자
나. 인공지능이용사업자: 가목의 사업자가 제공한 인공지능을 이용하여 인공지능제품 또는 인공지능서비스를 제공하는 자
8. “이용자”란 인공지능제품 또는 인공지능서비스를 제공받는 자를 말한다.
9. “영향받는 자”란 인공지능제품 또는 인공지능서비스에 의하여 자신의 생명, 신체의 안전 및 기본권에 중대한 영향을 받는 자를 말한다.
10. “인공지능사회”란 인공지능을 통하여 산업·경제, 사회·문화, 행정 등 모든 분야에서 가치를 창출하고 발전을 이끌어가는 사회를 말한다.
11. “인공지능윤리”란 인간의 존엄성에 대한 존중을 기초로 하여, 국민의 권익과 생명·재산을 보호할 수 있는 안전하고 신뢰할 수 있는 인공지능사회를 구현하기 위하여 인공지능의 개발, 제공 및 이용 등 모든 영역에서 사회구성원이 지켜야 할 윤리적 기준을 말한다.
12. “학습용데이터”란 인공지능의 개발·활용 등에 사용되는 데이터를 말한다.",2026-01-22,"핵심 용어 정의. 인공지능·인공지능시스템·인공지능기술·생성형 인공지능·학습용데이터 정의, 고영향 인공지능의 적용 영역(에너지·의료·채용·대출·교통·공공서비스·교육 등) 열거, 인공지능사업자·이용자·영향받는 자 구분"
AI 기본법,제3조,"제3조(기본원칙 및 국가 등의 책무) ① 인공지능기술과 인공지능산업은 안전성과 신뢰성을 제고하여 국민의 삶의 질을 향상시키는 방향으로 발전되어야 한다.
② 영향받는 자는 인공지능의 최종결과 도출에 활용된 주요 기준 및 원리 등에 대하여 기술적·합리적으로 가능한 범위에서 명확하고 의미 있는 설명을 제공받을 수 있어야 한다.
③ 국가 및 지방자치단체는 인공지능사업자의 창의정신을 존중하고, 안전한 인공지능 이용환경의 조성을 위하여 노력하여야 한다.
④ 국가 및 지방자치단체는 인공지능이 가져오는 사회·경제·문화와 국민의 일상생활 등 모든 영역에서의 변화에 대응하여 모든 국민이 안정적으로 적응할 수 있도록 시책을 강구하여야 한다.
⑤ 국가 및 지방자치단체는 인공지능 관련 정책의 개발과 수립 과정에 인공지능제품 또는 인공지능서비스의 이용에 어려움을 겪는 장애인·고령자 등 대통령령으로 정하는 취약계층(이하 “인공지능취약계층”이라 한다)의 참여를 보장하고 의견이 반영될 수 있도록 노력하여야 한다.<신설 2026. 1. 20.>",2026-01-22,"기본원칙 및 국가 책무. 안전성·신뢰성 제고 의무, 영향받는 자의 설명 제공받을 권리(설명가능성 근거), 취약계층 참여 보장"
AI 기본법,제4조,"제4조(적용범위) ① 이 법은 국외에서 이루어진 행위라도 국내 시장 또는 이용자에게 영향을 미치는 경우에는 적용한다.
② 이 법은 국방 또는 국가안보 목적으로만 개발·이용되는 인공지능으로서 대통령령으로 정하는 인공지능에 대하여는 적용하지 아니한다.",2026-01-22,"법의 적용범위. 국외 행위도 국내 영향 시 적용(역외적용), 국방·안보 목적 인공지능 적용 제외"
AI 기본법,제5조,"제5조(다른 법률과의 관계) ① 인공지능, 인공지능기술, 인공지능산업 및 인공지능사회(이하 “인공지능등”이라 한다)에 관하여 다른 법률에 특별한 규정이 있는 경우를 제외하고는 이 법에서 정하는 바에 따른다.
② 인공지능등에 관하여 다른 법률을 제정하거나 개정하는 경우에는 이 법의 목적에 부합하도록 하여야 한다.",2026-01-22,"다른 법률과의 관계. 특별규정 우선 적용, 관련 법령 제·개정 시 이 법 목적과의 부합 요구"
AI 기본법,제6조,"제6조(인공지능 기본계획의 수립) ① 과학기술정보통신부장관은 관계 중앙행정기관의 장 및 지방자치단체의 장의 의견을 들어 3년마다 인공지능기술 및 인공지능산업의 진흥과 국가경쟁력 강화를 위하여 인공지능 기본계획(이하 “기본계획”이라 한다)을 제7조에 따른 국가인공지능전략위원회의 심의·의결을 거쳐 수립·변경 및 시행하여야 한다. 다만, 기본계획 중 대통령령으로 정하는 경미한 사항을 변경하는 경우에는 그러하지 아니하다. <개정 2026. 1. 20.>
② 기본계획에는 다음 각 호의 사항이 포함되어야 한다.<개정 2026. 1. 20.>
1. 인공지능등에 관한 정책의 기본 방향과 전략에 관한 사항
2. 인공지능산업의 체계적 육성을 위한 전문인력의 양성 및 인공지능 개발·활용 촉진 기반 조성 등에 관한 사항
3. 인공지능윤리의 확산 등 건전한 인공지능사회 구현을 위한 법·제도 및 문화에 관한 사항
4. 인공지능기술 개발 및 인공지능산업 진흥을 위한 재원의 확보와 투자의 방향 등에 관한 사항
4의2. 「공공데이터의 제공 및 이용 활성화에 관한 법률」에 따른 공공데이터를 이용한 학습용데이터 생성, 공공데이터 제공 등의 범위와 기준 및 그 활성화에 관한 사항
5. 인공지능의 공정성·투명성·책임성·안전성·접근성 확보 등 신뢰 기반 조성에 관한 사항
6. 인공지능기술의 발전 방향 및 그에 따른 교육·노동·경제·문화 등 사회 각 영역의 변화와 대응에 관한 사항
6의2. 인공지능기술의 이해 및 활용을 위한 교육의 지원 및 홍보에 관한 사항
7. 인공지능제품 또는 인공지능서비스에 대한 인공지능취약계층의 접근·이용을 보장하기 위한 사항
8. 그 밖에 인공지능기술 및 인공지능산업의 진흥과 국제협력 등 국가경쟁력 강화를 위하여 과학기술정보통신부장관이 필요하다고 인정하는 사항
③ 과학기술정보통신부장관은 기본계획을 수립할 때에는 「지능정보화 기본법」 제6조제1항에 따른 종합계획 및 같은 법 제7조제1항에 따른 실행계획을 고려하여야 하며, 제2항제4호의2에 따른 학습용데이터 중 「공공데이터의 제공 및 이용 활성화에 관한 법률」에 따라 공공데이터를 학습용데이터로 제공하기 위한 사항에 대해서는 행정안전부장관과 협의하여 정한다.<개정 2026. 1. 20.>
④ 과학기술정보통신부장관은 관계 중앙행정기관, 지방자치단체 및 공공기관(「지능정보화 기본법」 제2조제16호에 따른 공공기관을 말한다. 이하 같다)의 장에게 기본계획의 수립에 필요한 자료의 제출을 요청할 수 있다. 이 경우 자료의 제출을 요청받은 기관의 장은 특별한 사정이 없으면 이에 따라야 한다.
⑤ 기본계획은 「지능정보화 기본법」 제13조제1항에 따른 인공지능 및 인공지능산업 분야의 부문별 추진계획으로 본다.
⑥ 중앙행정기관의 장 및 지방자치단체의 장은 소관 주요 정책을 수립하고 집행할 때 기본계획을 고려하여야 한다.
⑦ 기본계획의 수립·변경 및 시행에 필요한 사항은 대통령령으로 정한다.",2026-01-22,"인공지능 기본계획 수립. 3년 주기 기본계획, 국가인공지능전략위원회 심의·의결, 공정성·투명성·책임성·안전성·접근성 신뢰 기반 조성 사항 포함"
AI 기본법,제7조,"제7조(국가인공지능전략위원회) ① 인공지능 발전과 신뢰 기반 조성 등을 위한 주요 정책 등에 관한 사항을 심의·의결하기 위하여 대통령 소속으로 국가인공지능전략위원회(이하 “위원회”라 한다)를 둔다. <개정 2026. 1. 20.>
② 위원회는 위원장 1명과 3명 이내의 부위원장을 포함한 60명 이내의 위원으로 구성한다. 이 경우 제4항제4호에 따른 위원이 전체 위원의 과반수가 되어야 하고, 특정 성(性)으로만 위원회를 구성할 수 없다.<개정 2026. 1. 20.>
③ 위원회의 위원장은 대통령이 되고, 부위원장은 제4항제1호 또는 제4호에 해당하는 사람 중 대통령이 지명하는 사람이 된다.<개정 2026. 1. 20.>
④ 위원회의 위원은 다음 각 호의 사람이 된다.
1. 대통령령으로 정하는 관계 중앙행정기관의 장
2. 국가안보실의 인공지능에 관한 업무를 담당하는 차장
3. 대통령비서실의 인공지능에 관한 업무를 보좌하는 수석비서관
4. 인공지능 관련 전문지식과 경험이 풍부한 사람 중 대통령이 위촉하는 사람
⑤ 위원회의 위원장은 위원회를 대표하고 위원회의 사무를 총괄한다.
⑥ 위원회의 위원장은 필요한 경우 부위원장으로 하여금 그 직무를 대행하게 할 수 있다.
⑦ 제4항제4호에 따른 위원의 임기는 2년으로 하되 한 차례에 한정하여 연임할 수 있다.
⑧ 위원회에 간사위원 1명을 두며, 간사위원은 제4항제3호의 위원이 된다.
⑨ 위원회의 위원은 그 직무상 알게 된 비밀을 타인에게 누설하거나 직무상 목적 외의 용도로 사용하여서는 아니 된다. 다만, 다른 법률에 특별한 규정이 있는 경우에는 그러하지 아니하다.
⑩ 위원회의 위원장은 위원회의 회의를 소집하고 그 의장이 된다.
⑪ 위원회의 회의는 위원 과반수의 출석으로 개의하고, 출석위원 과반수의 찬성으로 의결한다.
⑫ 위원회의 업무 및 운영을 지원하기 위하여 위원회에 지원단을 둔다.
⑬ 위원회는 이 법 시행일부터 5년간 존속한다.
⑭ 그 밖에 위원회와 제12항에 따른 지원단의 구성 및 운영 등에 필요한 사항은 대통령령으로 정한다.
[제목개정 2026. 1. 20.]",2026-01-22,"국가인공지능전략위원회 구성·운영. 대통령 소속, 위원장·부위원장·위원 구성, 임기, 의결 정족수, 비밀유지 의무, 존속기간 5년"
AI 기본법,제8조,"제8조(위원회의 기능) ① 위원회는 다음 각 호의 사항을 심의·의결한다. <개정 2026. 1. 20.>
1. 기본계획의 수립·변경 및 시행의 점검·분석에 관한 사항
2. 인공지능등 관련 국가 비전 및 중장기 전략 수립에 관한 사항
2의2. 인공지능 관련 정책 및 사업 등의 수립·조정 및 부처 간 조율에 관한 사항
2의3. 인공지능 관련 정책 및 사업 등에 대한 이행점검 및 성과관리에 관한 사항
3. 인공지능등에 관한 연구개발 전략 수립에 관한 사항
4. 인공지능등에 관한 투자 방향 설정 및 투자 전략 수립에 관한 사항
5. 인공지능산업 발전과 경쟁력을 저해하는 규제의 발굴 및 개선에 관한 사항
5의2. 인공지능등 관련 기술·인력·입지 등 제도 개선에 관한 사항
5의3. 인공지능 및 인공지능기술 관련 전문인력의 양성 및 지원에 관한 사항
6. 인공지능 데이터센터(「지능정보화 기본법」 제40조제1항에 따른 데이터센터를 말한다. 이하 같다) 등 인프라 확충 방안에 관한 사항
6의2. 인공지능 발전을 위한 데이터(학습용데이터를 포함한다) 수집·관리 및 활용 촉진에 관한 사항
7. 제조업·서비스업 등 산업부문 및 공공부문에서의 인공지능 활용 촉진에 관한 사항
8. 인공지능 국제규범 마련 등 인공지능 관련 국제협력에 관한 사항
9. 제2항에 따른 권고 또는 의견의 표명에 관한 사항
10. 고영향 인공지능 규율에 관한 사항
11. 고영향 인공지능과 관련된 사회적 변화 양상과 정책적 대응에 관한 사항
12. 이 법 또는 다른 법률에서 위원회의 심의사항으로 정한 사항
13. 그 밖에 위원회의 위원장이 필요하다고 인정하여 위원회의 회의에 부치는 사항
② 위원회는 국가기관등의 장 및 인공지능사업자 등에 대하여 인공지능의 올바른 사용과 인공지능윤리의 실천, 인공지능기술의 안전성·신뢰성에 관한 권고 또는 의견의 표명을 할 수 있다.
③ 위원회가 국가기관등의 장에게 법령·제도의 개선 또는 실천방안의 수립 등에 대하여 제2항에 따른 권고 또는 의견의 표명을 한 때에는 해당 국가기관등의 장은 법령·제도 등의 개선방안과 실천방안 등을 수립하여야 한다.",2026-01-22,"위원회의 심의·의결 기능. 기본계획 점검, 국가전략·투자 방향, 규제 개선, 고영향 인공지능 규율, 국가기관·사업자에 대한 권고 및 의견표명"
AI 기본법,제9조,"제9조(위원의 제척·기피 및 회피) ① 위원회의 위원은 업무의 공정성 확보를 위하여 다음 각 호의 어느 하나에 해당하는 경우에는 해당 안건의 심의·의결에서 제척(除斥)된다.
1. 위원 또는 위원이 속한 법인·단체 등과 직접적인 이해관계가 있는 경우
2. 위원의 가족(「민법」 제779조에 따른 가족을 말한다)이 이해관계인인 경우
② 심의 대상 안건의 당사자(당사자가 법인·단체 등인 경우에는 그 임원 및 직원을 포함한다)는 위원에게 공정한 직무집행을 기대하기 어려운 사정이 있으면 위원회에 기피 신청을 할 수 있으며, 위원회는 기피 신청이 타당하다고 인정하면 의결로 기피를 결정하여야 한다.
③ 위원은 제1항 또는 제2항의 사유에 해당하면 스스로 해당 안건의 심의를 회피하여야 한다.",2026-01-22,"위원회 위원의 제척·기피·회피. 이해관계 있는 위원의 심의·의결 배제 절차"
AI 기본법,제10조,"제10조(분과위원회 등) ① 위원회는 위원회의 업무를 전문 분야별로 수행하기 위하여 필요한 경우 분과위원회를 둘 수 있다.
② 위원회는 인공지능등 관련 특정 현안을 논의하기 위하여 필요한 경우 특별위원회를 둘 수 있다.
③ 위원회는 인공지능등 관련 사항을 전문적으로 검토하기 위하여 관계 전문가 등으로 구성된 자문단을 둘 수 있다.
④ 위원회는 정부 내 인공지능 주요 시책의 수립과 사업의 효율적인 추진을 위하여 대통령령으로 정하는 인공지능책임관으로 구성되는 인공지능책임관협의회를 운영할 수 있다.<신설 2026. 1. 20.>
⑤ 그 밖에 분과위원회, 특별위원회, 자문단 및 인공지능책임관협의회의 구성·운영 등에 필요한 사항은 대통령령으로 정한다.<개정 2026. 1. 20.>",2026-01-22,"위원회 하위 조직. 분과위원회·특별위원회·자문단·인공지능책임관협의회 설치·운영"
